X1,X2
0.7291666666666666,0.027777777777777776
0.4583333333333333,0
0.2916666666666667,0
0.2708333333333333,0
0.4583333333333333,0
1,0.37662337662337664
0.9166666666666666,0
0,NA
0.08333333333333333,0
0.4583333333333333,0
0.5416666666666666,0
0.75,0
0,NA
0,NA
0.25,0
0.4583333333333333,0
0.8958333333333334,0
0.25,0
0,NA
0,NA
0.5,0
1,0
0.5416666666666666,0
0,NA
0.8958333333333334,0
0.5416666666666666,0
0.875,0
0,NA
1,0.30434782608695654
0.4375,0
1,0
0,NA
0.5416666666666666,0
0.75,0.18181818181818182
0.25,0
1,0
1,0.7818181818181819
0.5416666666666666,0
1,0.15789473684210525
0.8125,0
1,0
1,0.8495297805642633
0,NA
0,NA
0.75,0
0,NA
0,NA
0,NA
1,0
0,NA
0.020833333333333332,0
1,0.04
1,0.02040816326530612
0.3125,0
0.5416666666666666,0
0.3958333333333333,0
0,NA
0,NA
0,NA
0.5416666666666666,0
0.7083333333333334,0
0.4375,0
1,0
0.5208333333333334,0
1,0
0.5,0
1,0.02040816326530612
0.9166666666666666,0
1,0.22580645161290322
0,NA
1,0.8536585365853658
1,0.7703349282296651
1,0
0.875,0
0,NA
0.08333333333333333,0
0,NA
0.10416666666666667,0
0.8541666666666666,0.4383561643835616
0.2916666666666667,0
0.6875,0.029411764705882353
1,0
0.5,0
0,NA
0.7916666666666666,0
0.9791666666666666,0.1896551724137931
0.25,0
0,NA
1,0.02040816326530612
0.4583333333333333,0
0.75,0.07692307692307693
0.5416666666666666,0
0,NA
0.25,0
0.25,0
0.7083333333333334,0
1,0.8666666666666667
0,NA
1,0
0,NA
0.8958333333333334,0.044444444444444446
0.4583333333333333,0
0.3958333333333333,0
0.5416666666666666,0
0.7708333333333334,0
1,0.5294117647058824
1,0.04
0.9583333333333334,0
0.25,0
0.5,0
0.5416666666666666,0
0.9791666666666666,0.0784313725490196
0,NA
0,NA
0.4166666666666667,0
0.4583333333333333,0
1,0
0.25,0
0.25,0
0,NA
0.5625,0
1,0
0.5416666666666666,0.07142857142857142
0,NA
1,0
0.5416666666666666,0
0.8958333333333334,0
0.25,0
1,0.4782608695652174
0.4583333333333333,0
1,0.02040816326530612
0,NA
0.5625,0
1,0.3684210526315789
0.5208333333333334,0
1,0
1,0.8588235294117647
0.5416666666666666,0
1,0.8160919540229885
0.8333333333333334,0
1,0
1,0.8596491228070176
0.4583333333333333,0
0,NA
0.75,0.02702702702702703
0,NA
0,NA
0,NA
1,0.02040816326530612
0,NA
0.08333333333333333,0
1,0.07692307692307693
1,0.07692307692307693
0.4583333333333333,0
0.5416666666666666,0
0.5,0
0,NA
0.8125,0
0,NA
0.8541666666666666,0
0.9166666666666666,0
0.4583333333333333,0
1,0
0.7083333333333334,0
1,0.02040816326530612
0.5208333333333334,0.10714285714285714
1,0.02040816326530612
1,0.02040816326530612
1,0.37662337662337664
0,NA
1,0.8670360110803325
1,0.8624641833810889
1,0
0.8958333333333334,0
0,NA
0.20833333333333334,0
0.4583333333333333,0
0.125,0
1,0.5247524752475248
0.3541666666666667,0
0.7291666666666666,0.05405405405405406
1,0
0.9166666666666666,0
0,NA
1,0
1,0.3924050632911392
0.4583333333333333,0
0,NA
1,0.02040816326530612
0.4583333333333333,0
0.7708333333333334,0.11904761904761904
0.7083333333333334,0.05555555555555555
0,NA
0.25,0
0.25,0
0.8541666666666666,0
1,0.8706199460916442
0,NA
1,0.07692307692307693
0.25,0
0.9791666666666666,0.0784313725490196
0.4583333333333333,0
0.5416666666666666,0
0.5625,0
0.8333333333333334,0
1,0.6033057851239669
1,0.058823529411764705
0.9791666666666666,0
0.2708333333333333,0
0.5,0
0.5416666666666666,0.037037037037037035
1,0.09433962264150944
0,NA
0,NA
0.4166666666666667,0
0.4583333333333333,0
1,0
0.4583333333333333,0
0.5416666666666666,0
0.5,0
0.8333333333333334,0
1,0.02040816326530612
0.5416666666666666,0.10344827586206896
0,NA
1,0
0.6875,0.029411764705882353
0.8958333333333334,0
0.3125,0
1,0.5966386554621849
0.9375,0
1,0.04
0,NA
0.6041666666666666,0
1,0.4666666666666667
0.5625,0
1,0.02040816326530612
1,0.8699186991869918
0.5416666666666666,0
1,0.8344827586206897
1,0.04
1,0
1,0.8674033149171271
0.4791666666666667,0
0,NA
0.75,0.1
0,NA
0,NA
0,NA
1,0.02040816326530612
0.25,0
0.10416666666666667,0
1,0.07692307692307693
1,0.07692307692307693
0.5,0
0.5416666666666666,0
0.5,0
0,NA
0.8958333333333334,0
0,NA
0.8958333333333334,0
0.9791666666666666,0.020833333333333332
0.4583333333333333,0
1,0
0.7083333333333334,0
1,0.2
0.5208333333333334,0.10714285714285714
1,0.04
1,0.02040816326530612
1,0.42168674698795183
0,NA
1,0.8709677419354839
1,0.8699186991869918
1,0.02040816326530612
0.9166666666666666,0
0,NA
0.2916666666666667,0
0.4791666666666667,0
0.3541666666666667,0
1,0.5636363636363636
0.5,0
0.75,0.05263157894736842
1,0
0.9791666666666666,0
0,NA
1,0.02040816326530612
1,0.4418604651162791
0.4791666666666667,0
0,NA
1,0.04
1,0.8481012658227848
0.9166666666666666,0.30158730158730157
0.7291666666666666,0.07894736842105263
0,NA
0.25,0
0.5416666666666666,0
0.9375,0.16666666666666666
1,0.8743455497382199
0,NA
1,0.09433962264150944
0.25,0
1,0.1111111111111111
0.4583333333333333,0.043478260869565216
0.5416666666666666,0
0.7083333333333334,0
1,0
1,0.6619718309859155
1,0.07692307692307693
1,0
0.2708333333333333,0
0.5,0
0.5416666666666666,0.07142857142857142
1,0.2
0,NA
0.25,0
0.4583333333333333,0
0.5208333333333334,0
1,0
0.4791666666666667,0
0.5416666666666666,0
0.5,0
1,0
1,0.058823529411764705
0.5416666666666666,0.13333333333333333
0,NA
1,0
0.6875,0.08333333333333333
0.9583333333333334,0.02127659574468085
0.3541666666666667,0
1,0.8339100346020761
0.9375,0
1,0.09433962264150944
0,NA
0.7291666666666666,0
1,0.5675675675675675
0.8125,0
1,0.058823529411764705
1,0.8716577540106952
0.5416666666666666,0
1,0.8485804416403786
1,0.04
1,0
1,0.872
0.5,0
0.875,0.7341772151898734
0.75,0.16279069767441862
0.4166666666666667,0
0,NA
0.5416666666666666,0
1,0.04
0.25,0
0.25,0
1,0.07692307692307693
1,0.09433962264150944
0.5,0.1111111111111111
0.5416666666666666,0
0.5,0
0,NA
0.9375,0
0,NA
0.9791666666666666,0
1,0.02040816326530612
0.4791666666666667,0.041666666666666664
1,0
0.7083333333333334,0
1,0.3333333333333333
0.5208333333333334,0.24242424242424243
1,0.058823529411764705
1,0.02040816326530612
1,0.5428571428571428
0,NA
1,0.8743455497382199
1,0.8726790450928382
1,0.02040816326530612
1,0.1111111111111111
0.4375,0
0.2916666666666667,0
0.4791666666666667,0
0.3541666666666667,0
1,0.6190476190476191
0.5208333333333334,0
0.75,0.14285714285714285
1,0
0.9791666666666666,0
0,NA
1,0.058823529411764705
1,0.48936170212765956
0.5,0
0,NA
1,0.8016528925619835
1,0.8579881656804734
0.9166666666666666,0.37142857142857144
0.7291666666666666,0.18604651162790697
0,NA
0.25,0
0.5416666666666666,0
1,0.30434782608695654
1,0.8743455497382199
0,NA
1,0.14285714285714285
0.25,0
1,0.2727272727272727
0.5,0.1111111111111111
0.5416666666666666,0
0.7083333333333334,0
1,0
1,0.6821192052980133
1,0.1864406779661017
1,0
0.3125,0
0.5,0
0.7291666666666666,0.2857142857142857
1,0.323943661971831
0,NA
0.25,0
0.5208333333333334,0
1,0.8195488721804511
1,0
0.5,0
0.5416666666666666,0
0.5416666666666666,0
1,0
1,0.07692307692307693
0.7291666666666666,0.2391304347826087
0,NA
1,0.04
1,0.8024691358024691
0.9791666666666666,0.020833333333333332
0.3541666666666667,0
1,0.8481012658227848
0.9375,0
1,0.1724137931034483
0,NA
0.7291666666666666,0
1,0.8273381294964028
0.9791666666666666,0
1,0.1111111111111111
1,0.8726790450928382
0.5416666666666666,0
1,0.8604651162790697
1,0.04
1,0
1,0.8743455497382199
0.5,0
0.9791666666666666,0.7344632768361582
0.8333333333333334,0.3548387096774194
0.4375,0
0,NA
0.8958333333333334,0
1,0.058823529411764705
0.5,0
0.5208333333333334,0
1,0.15789473684210525
1,0.12727272727272726
0.8333333333333334,0.6428571428571429
0.6458333333333334,0
0.5,0
0,NA
0.9583333333333334,0
0,NA
0.9791666666666666,0
1,0.02040816326530612
0.8333333333333334,0.574468085106383
1,0.02040816326530612
0.9791666666666666,0
1,0.37662337662337664
1,0.29411764705882354
1,0.1111111111111111
1,0.02040816326530612
1,0.6097560975609756
0,NA
1,0.8743455497382199
1,0.8743455497382199
1,0.04
1,0.2835820895522388
0.5208333333333334,0
0.3125,0
0.5,0
0.3958333333333333,0
1,0.6496350364963503
0.5208333333333334,0
0.75,0.16279069767441862
1,0.02040816326530612
1,0.7767441860465116
0,NA
1,0.09433962264150944
1,0.52
0.5,0
0,NA
1,0.8350515463917526
1,0.8681318681318682
0.9375,0.4230769230769231
0.7291666666666666,0.2391304347826087
0,NA
0.25,0
0.5416666666666666,0
1,0.36
1,0.8743455497382199
0,NA
1,0.15789473684210525
0.25,0
1,0.68
0.7083333333333334,0.08108108108108109
0.5416666666666666,0
0.7083333333333334,0
1,0.02040816326530612
1,0.6942675159235668
1,0.21311475409836064
1,0
0.3125,0
0.5,0
0.7291666666666666,0.39655172413793105
1,0.42168674698795183
0,NA
1,0.7635467980295566
0.75,0
1,0.8410596026490066
1,0
0.5208333333333334,0
0.5416666666666666,0
0.5416666666666666,0
1,0
1,0.09433962264150944
0.9166666666666666,0.4823529411764706
0,NA
1,0.058823529411764705
1,0.8291814946619217
0.9791666666666666,0.020833333333333332
0.3958333333333333,0
1,0.8523076923076923
0.9791666666666666,0
1,0.5
0,NA
1,0.8228782287822878
1,0.8394648829431438
0.9791666666666666,0
1,0.1111111111111111
1,0.8743455497382199
0.6041666666666666,0
1,0.8699186991869918
1,0.058823529411764705
1,0
1,0.8743455497382199
0.5,0
0.9791666666666666,0.7589743589743589
0.8333333333333334,0.38461538461538464
0.4375,0
0,NA
0.8958333333333334,0
1,0.1111111111111111
0.5,0
0.5625,0
1,0.1864406779661017
1,0.14285714285714285
1,0.673469387755102
0.6458333333333334,0
0.5,0
0,NA
0.9583333333333334,0
0,NA
1,0.7767441860465116
1,0.04
1,0.8592375366568915
1,0.02040816326530612
0.9791666666666666,0
1,0.4482758620689655
1,0.38461538461538464
1,0.12727272727272726
1,0.02040816326530612
1,0.8315789473684211
0,NA
1,0.8743455497382199
1,0.8743455497382199
1,0.04
1,0.8267148014440433
0.5208333333333334,0
0.8333333333333334,0.1111111111111111
0.5208333333333334,0
0.4166666666666667,0
1,0.6756756756756757
0.5208333333333334,0
0.75,0.16279069767441862
1,0.02040816326530612
1,0.8072289156626506
0,NA
1,0.15789473684210525
1,0.5471698113207547
0.5416666666666666,0
0.16666666666666666,0
1,0.8436482084690554
1,0.8709677419354839
0.9375,0.4578313253012048
0.75,0.25
0,NA
0.25,0
0.5416666666666666,0
1,0.4
1,0.8743455497382199
0,NA
1,0.15789473684210525
0.25,0
1,0.8195488721804511
0.7291666666666666,0.125
0.5416666666666666,0
0.8958333333333334,0.1568627450980392
1,0.8558558558558559
1,0.7073170731707317
1,0.8321678321678322
1,0
0.3125,0
0.5,0
0.7291666666666666,0.4852941176470588
1,0.4782608695652174
0.22916666666666666,0
1,0.8267148014440433
0.7916666666666666,0
1,0.8471337579617835
1,0
0.5416666666666666,0
0.5416666666666666,0
0.5416666666666666,0
1,0
1,0.12727272727272726
1,0.5102040816326531
0,NA
1,0.058823529411764705
1,0.8471337579617835
1,0.02040816326530612
0.5,0
1,0.8571428571428571
1,0
1,0.5636363636363636
0,NA
1,0.8367346938775511
1,0.8476190476190476
0.9791666666666666,0
1,0.1111111111111111
1,0.8743455497382199
0.8125,0
1,0.8716577540106952
1,0.058823529411764705
1,0
1,0.8743455497382199
0.5,0
0.9791666666666666,0.7853881278538812
0.8333333333333334,0.40298507462686567
0.4791666666666667,0
0,NA
0.8958333333333334,0
1,0.12727272727272726
0.5,0
1,0.8146718146718147
1,0.2835820895522388
1,0.14285714285714285
1,0.7257142857142858
0.8125,0
0.5,0
0,NA
0.9583333333333334,0
0,NA
1,0.7866666666666666
1,0.04
1,0.8620689655172413
1,0.02040816326530612
1,0
1,0.8394648829431438
1,0.38461538461538464
1,0.12727272727272726
1,0.02040816326530612
1,0.8410596026490066
0,NA
1,0.8743455497382199
1,0.8743455497382199
1,0.15789473684210525
1,0.8431372549019608
0.5416666666666666,0
0.9375,0.25
1,0.8356164383561644
0.4583333333333333,0
1,0.7
0.7916666666666666,0
0.9166666666666666,0.18518518518518517
1,0.04
1,0.8241758241758241
0,NA
1,0.1724137931034483
1,0.5862068965517241
0.5416666666666666,0
0.16666666666666666,0
1,0.8495297805642633
1,0.8723404255319149
1,0.4482758620689655
0.75,0.29411764705882354
0,NA
0.2708333333333333,0
0.5416666666666666,0
1,0.4
1,0.8743455497382199
0,NA
1,0.1724137931034483
0.5208333333333334,0
1,0.8367346938775511
1,0.8315789473684211
0.5416666666666666,0
0.9375,0.4
1,0.8636363636363636
1,0.7159763313609467
1,0.8485804416403786
1,0
0.3333333333333333,0
0.5,0
0.9791666666666666,0.5803571428571429
1,0.48936170212765956
0.25,0
1,0.8415841584158416
0.7916666666666666,0
1,0.8536585365853658
1,0
0.5416666666666666,0
0.5416666666666666,0
0.5416666666666666,0
1,0
1,0.1864406779661017
1,0.7974683544303798
0,NA
1,0.058823529411764705
1,0.8545454545454545
1,0.02040816326530612
0.875,0
1,0.8628571428571429
1,0.8415841584158416
1,0.5752212389380531
0,NA
1,0.8504672897196262
1,0.8532110091743119
0.9791666666666666,0
1,0.1111111111111111
1,0.8743455497382199
0.8125,0
1,0.8743455497382199
1,0.058823529411764705
1,0
1,0.8743455497382199
0.5,0
1,0.8153846153846154
0.8333333333333334,0.4594594594594595
0.7708333333333334,0
0,NA
0.9166666666666666,0
1,0.14285714285714285
0.7083333333333334,0
1,0.8291814946619217
1,0.3424657534246575
1,0.15789473684210525
1,0.7669902912621359
0.8125,0
0.5208333333333334,0
0,NA
0.9583333333333334,0
0,NA
1,0.8072289156626506
1,0.04
1,0.8699186991869918
1,0.02040816326530612
1,0
1,0.8495297805642633
1,0.4
1,0.12727272727272726
1,0.02040816326530612
1,0.8461538461538461
0,NA
1,0.8743455497382199
1,0.8743455497382199
1,0.21311475409836064
1,0.8485804416403786
0.6875,0.10810810810810811
1,0.29411764705882354
1,0.8476190476190476
0.5,0
1,0.7288135593220338
0.8125,0
0.9166666666666666,0.2542372881355932
1,0.04
1,0.8361774744027304
0,NA
1,0.1864406779661017
1,0.6190476190476191
0.5416666666666666,0
0.2916666666666667,0
1,0.861671469740634
1,0.8743455497382199
1,0.45454545454545453
0.75,0.3076923076923077
0.2916666666666667,0
0.2708333333333333,0
0.7083333333333334,0
1,0.43529411764705883
1,0.8743455497382199
0,NA
1,0.2
0.5416666666666666,0
1,0.8461538461538461
1,0.8436482084690554
0.5416666666666666,0
1,0.5294117647058824
1,0.8684931506849315
1,0.8476190476190476
1,0.8536585365853658
1,0
1,0.7939914163090128
0.5,0
1,0.7847533632286996
1,0.52
0.25,0
1,0.8513931888544891
0.7916666666666666,0
1,0.8608695652173913
1,0
0.5416666666666666,0
0.5416666666666666,0
0.5416666666666666,0
1,0
1,0.2
1,0.8361774744027304
0,NA
1,0.058823529411764705
1,0.8604651162790697
1,0.02040816326530612
0.875,0
1,0.8659217877094972
1,0.8545454545454545
1,0.6190476190476191
0,NA
1,0.8541033434650456
1,0.8592375366568915
1,0.7681159420289855
1,0.14285714285714285
1,0.8743455497382199
0.8333333333333334,0
1,0.8743455497382199
1,0.07692307692307693
1,0
1,0.8743455497382199
0.5,0
1,0.8415841584158416
0.8333333333333334,0.4666666666666667
0.8541666666666666,0
0,NA
0.9166666666666666,0
1,0.14285714285714285
0.7083333333333334,0
1,0.8421052631578947
1,0.3424657534246575
1,0.15789473684210525
1,0.7876106194690266
0.8125,0
0.5208333333333334,0
0,NA
0.9583333333333334,0
0,NA
1,0.8309859154929577
1,0.058823529411764705
1,0.872
1,0.02040816326530612
1,0
1,0.8571428571428571
1,0.42168674698795183
1,0.12727272727272726
1,0.02040816326530612
1,0.8523076923076923
0,NA
1,0.8743455497382199
1,0.8743455497382199
1,0.22580645161290322
1,0.8562874251497006
0.7083333333333334,0.17073170731707318
1,0.29411764705882354
1,0.861671469740634
0.5,0
1,0.7333333333333333
0.8125,0
0.9166666666666666,0.3125
1,0.04
1,0.8441558441558441
0,NA
1,0.21311475409836064
1,0.627906976744186
0.5416666666666666,0
0.2916666666666667,0
1,0.8666666666666667
1,0.8743455497382199
1,0.4606741573033708
0.75,0.3333333333333333
0.7708333333333334,0
0.2708333333333333,0
0.9583333333333334,0
1,0.8471337579617835
1,0.8743455497382199
0.5416666666666666,0
1,0.23809523809523808
0.5416666666666666,0
1,0.8523076923076923
1,0.8554216867469879
0.8541666666666666,0.046511627906976744
1,0.5636363636363636
1,0.8702702702702703
1,0.8579881656804734
1,0.8651685393258427
1,0
1,0.8160919540229885
0.5208333333333334,0
1,0.8241758241758241
1,0.5596330275229358
0.25,0
1,0.8549848942598187
0.875,0
1,0.8640226628895185
1,0
0.5416666666666666,0
0.5416666666666666,0
0.5416666666666666,0
1,0
1,0.29411764705882354
1,0.8523076923076923
0,NA
1,0.07692307692307693
1,0.8702702702702703
1,0.02040816326530612
0.8958333333333334,0
1,0.8743455497382199
1,0.8588235294117647
1,0.6571428571428571
0,NA
1,0.8567164179104477
1,0.8670360110803325
1,0.7818181818181819
1,0.15789473684210525
1,0.8743455497382199
0.8333333333333334,0
1,0.8743455497382199
1,0.07692307692307693
1,0
1,0.8743455497382199
0.5,0
1,0.85
1,0.5752212389380531
0.9166666666666666,0
0,NA
0.9166666666666666,0
1,0.14285714285714285
0.8541666666666666,0
1,0.8558558558558559
1,0.3424657534246575
1,0.22580645161290322
1,0.813953488372093
0.8125,0.025
0.5208333333333334,0
0,NA
0.9791666666666666,0.020833333333333332
0,NA
1,0.8436482084690554
1,0.07692307692307693
1,0.8736842105263158
1,0.02040816326530612
1,0
1,0.8640226628895185
1,0.43529411764705883
1,0.1724137931034483
1,0.07692307692307693
1,0.8596491228070176
0.25,0
1,0.8743455497382199
1,0.8743455497382199
1,0.22580645161290322
1,0.861271676300578
0.9791666666666666,0.37333333333333335
1,0.36
1,0.8662952646239555
0.5,0
1,0.7433155080213903
0.8125,0
0.9375,0.3076923076923077
1,0.058823529411764705
1,0.861271676300578
0,NA
1,0.29411764705882354
1,0.6571428571428571
0.5416666666666666,0
0.2916666666666667,0
1,0.8699186991869918
1,0.8743455497382199
1,0.4666666666666667
0.75,0.4461538461538462
0.8125,0
0.2708333333333333,0
1,0
1,0.8532110091743119
1,0.8743455497382199
0.5416666666666666,0
1,0.2835820895522388
0.5416666666666666,0
1,0.8604651162790697
1,0.8588235294117647
