sample_name	averagesoilrelativehumidity	averagesoiltemperature	collection_timestamp	depth	description	dna_extracted	electrical_conductivity	electrical_conductivity_units	elevation	env_biome	env_feature	env_material	env_package	geo_loc_name	host_subject_id	host_taxid	latitude	longitude	percentcover	percentrelativehumiditysoil_100	ph	ph_meth	physical_specimen_location	physical_specimen_remaining	project_name	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	relativehumiditysoilhigh	relativehumiditysoillow	sample_type	scientific_name	site_name	soil_organic_carbon	soil_organic_carbon_units	taxon_id	temperaturesoilhigh	temperaturesoillow	title	transectid	vegetation
10360.BAQ1370.1.2	16.17	22.61	2013-03-20	0.02	sample from Banquedana transect	TRUE	6.08	dSiemens per m	1370	desert biome	slope	soil	soil	Peru:Atacama desert	BAQ1370	410658	-23.35399	-69.67095	0	0	7.98	electrode	NAU	TRUE	Atacama Desert Soils	TRUE				10360	23.97	11.42	soil	soil metagenome	BAQ1370	525	mg carbon per gram of soil	410658	35.21	12.46	Atacama soil transects	Baquedano	FALSE
10360.BAQ1370.1.3	16.17	22.61	2013-03-20	0.02	sample from Banquedana transect	TRUE	Missing: Not provided	dSiemens per m	1370	desert biome	slope	soil	soil	Peru:Atacama desert	BAQ1370	410658	-23.35399	-69.67095	0	0	8.13	electrode	NAU	TRUE	Atacama Desert Soils	TRUE				10360	23.97	11.42	soil	soil metagenome	BAQ1370	Missing: Not provided	mg carbon per gram of soil	410658	35.21	12.46	Atacama soil transects	Baquedano	FALSE
10360.BAQ1370.3	16.17	22.61	2013-03-20	0.02	sample from Banquedana transect	TRUE	6.08	dSiemens per m	1370	desert biome	slope	soil	soil	Peru:Atacama desert	BAQ1370	410658	-23.35399	-69.67095	0	0	Missing: Not provided	electrode	NAU	TRUE	Atacama Desert Soils	TRUE	Free-living	Non-saline	Soil (non-saline)	10360	23.97	11.42	soil	soil metagenome	BAQ1370	771	mg carbon per gram of soil	410658	35.21	12.46	Atacama soil transects	Baquedano	FALSE
10360.BAQ1552.1.1	15.75	22.63	2013-03-20	0.02	sample from Banquedana transect	TRUE	Missing: Not provided	dSiemens per m	1552	desert biome	slope	soil	soil	Peru:Atacama desert	BAQ1552	410658	-23.40907	-69.43716	0	0	7.87	electrode	NAU	TRUE	Atacama Desert Soils	TRUE	Free-living	Non-saline	Soil (non-saline)	10360	35.36	11.1	soil	soil metagenome	BAQ1552	Missing: Not provided	mg carbon per gram of soil	410658	30.65	10.96	Atacama soil transects	Baquedano	FALSE
10360.BAQ1552.2	15.75	22.63	2013-03-20	0.02	sample from Banquedana transect	TRUE	1.839	dSiemens per m	1552	desert biome	slope	soil	soil	Peru:Atacama desert	BAQ1552	410658	-23.40907	-69.43716	0	0	Missing: Not provided	electrode	NAU	TRUE	Atacama Desert Soils	TRUE				10360	35.36	11.1	soil	soil metagenome	BAQ1552	223	mg carbon per gram of soil	410658	30.65	10.96	Atacama soil transects	Baquedano	FALSE
10360.BAQ2420.1.1	82.54	22.45	2012-03-02	0.02	sample from Banquedana transect	TRUE	Missing: Not provided	dSiemens per m	2420	desert biome	slope	soil	soil	Peru:Atacama desert	BAQ2420	410658	-22.91801	-68.3532	0	46.77	9.33	electrode	NAU	TRUE	Atacama Desert Soils	TRUE	Free-living	Non-saline	Soil (non-saline)	10360	100	41.135	soil	soil metagenome	BAQ2420	Missing: Not provided	mg carbon per gram of soil	410658	28.297	13.294	Atacama soil transects	Baquedano	FALSE
10360.BAQ2420.1.2	82.54	22.45	2012-03-02	0.02	sample from Banquedana transect	TRUE	0.075	dSiemens per m	2420	desert biome	slope	soil	soil	Peru:Atacama desert	BAQ2420	410658	-22.91801	-68.3532	0	46.77	9.36	electrode	NAU	TRUE	Atacama Desert Soils	TRUE	Free-living	Non-saline	Soil (non-saline)	10360	100	41.135	soil	soil metagenome	BAQ2420	166	mg carbon per gram of soil	410658	28.297	13.294	Atacama soil transects	Baquedano	FALSE
10360.BAQ2420.1.3	82.54	22.45	2012-03-02	0.02	sample from Banquedana transect	TRUE	Missing: Not provided	dSiemens per m	2420	desert biome	slope	soil	soil	Peru:Atacama desert	BAQ2420	410658	-22.91801	-68.3532	0	46.77	8.9	electrode	NAU	TRUE	Atacama Desert Soils	TRUE	Free-living	Non-saline	Soil (non-saline)	10360	100	41.135	soil	soil metagenome	BAQ2420	Missing: Not provided	mg carbon per gram of soil	410658	28.297	13.294	Atacama soil transects	Baquedano	FALSE
10360.BAQ2420.2	82.54	22.45	2012-03-02	0.02	sample from Banquedana transect	TRUE	0.075	dSiemens per m	2420	desert biome	slope	soil	soil	Peru:Atacama desert	BAQ2420	410658	-22.91801	-68.3532	0	46.77	9.36	electrode	NAU	TRUE	Atacama Desert Soils	TRUE	Free-living	Non-saline	Soil (non-saline)	10360	100	41.135	soil	soil metagenome	BAQ2420	337	mg carbon per gram of soil	410658	28.297	13.294	Atacama soil transects	Baquedano	FALSE
10360.BAQ2420.3	82.54	22.45	2012-03-02	0.02	sample from Banquedana transect	TRUE	0.075	dSiemens per m	2420	desert biome	slope	soil	soil	Peru:Atacama desert	BAQ2420	410658	-22.91801	-68.3532	0	46.77	9.36	electrode	NAU	TRUE	Atacama Desert Soils	TRUE	Free-living	Non-saline	Soil (non-saline)	10360	100	41.135	soil	soil metagenome	BAQ2420	574	mg carbon per gram of soil	410658	28.297	13.294	Atacama soil transects	Baquedano	FALSE
