X1,X2,X3,X4
1,0,0.916666667,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.2,1,0.076923077
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.916666667,0
1,0,1,0
1,0,1,0
1,0.294117647,1,0.294117647
1,0,1,0
1,0.076923077,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.428571429,1,0.428571429
1,0,0.916666667,0
1,0,1,0
1,0.538461538,1,0.538461538
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.916666667,0
1,0.25,1,0.25
1,0,0.916666667,0
1,0,1,0
1,0.076923077,1,0
1,0.076923077,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.916666667,0
1,0,1,0
1,0.52,1,0.52
1,0,1,0
1,0.333333333,0.916666667,0
1,0,1,0
1,0,0.916666667,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.916666667,0
1,0,1,0
1,0,1,0
1,0,0.916666667,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.076923077,0.833333333,0
1,0,1,0
1,0,1,0
1,0.076923077,1,0
1,0,1,0
1,0.142857143,1,0.076923077
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.916666667,0
1,0,1,0
1,0.076923077,1,0.076923077
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0.076923077,0.958333333,0.08
1,0,0.958333333,0
1,0,0.958333333,0
1,0.04,0.958333333,0
1,0.04,0.958333333,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0.04,1,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,1,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0.2,0.958333333,0.206896552
1,0,0.958333333,0
1,0,1,0
1,0.466666667,0.958333333,0.477272727
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0.04,1,0.04
1,0,1,0
1,0.04,1,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0.04,0.958333333,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,0.916666667,0
1,0,1,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0.351351351,1,0.351351351
1,0,0.958333333,0
1,0.2,0.958333333,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,0.958333333,0
1,0,0.958333333,0
0.958333333,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0.04,1,0
1,0,1,0
1,0,0.958333333,0
1,0.04,0.958333333,0.041666667
1,0,0.958333333,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.183333333,1,0.183333333
1,0,1,0
1,0.125,0.959183673,0.096153846
1,0,0.714285714,0
0.93877551,0,0.918367347,0
1,0,0.959183673,0
0.979591837,0,0.897959184,0
0.979591837,0,0.959183673,0
1,0.319444444,0.979591837,0.25
1,0.02,0.979591837,0.020408163
0.93877551,0,0.918367347,0
1,0.268656716,1,0.209677419
1,0.289855072,1,0.222222222
0.93877551,0,0.857142857,0
1,0.222222222,1,0.125
1,0.209677419,1,0.155172414
1,0.346666667,1,0.346666667
1,0,0.979591837,0
1,0.02,0.897959184,0.022222222
1,0.125,0.93877551,0.041666667
0.979591837,0,0.775510204,0
0.836734694,0,0.734693878,0
1,0,0.979591837,0
1,0,1,0
1,0.268656716,1,0.196721311
1,0,0.979591837,0
1,0,0.959183673,0
1,0,0.979591837,0
1,0.289855072,1,0.257575758
1,0.222222222,1,0.125
0.979591837,0,0.897959184,0
1,0.109090909,1,0.075471698
1,0,0.857142857,0
0.918367347,0,0.87755102,0
1,0.279411765,0.93877551,0.115384615
1,0.183333333,1,0.125
1,0.346666667,1,0.268656716
1,0.196721311,1,0.169491525
0.93877551,0,0.87755102,0
1,0.268656716,1,0.140350877
1,0,1,0
0.734693878,0,0.693877551,0
1,0,0.979591837,0
0.918367347,0,0.816326531,0
0.93877551,0,0.918367347,0
0.93877551,0,0.836734694,0
1,0,0.959183673,0
1,0.379746835,1,0.328767123
0.673469388,0,0.653061224,0
1,0.319444444,1,0.289855072
0.673469388,0,0.571428571,0
1,0,0.959183673,0
1,0.092592593,0.979591837,0.094339623
1,0.337837838,1,0.279411765
1,0.125,0.918367347,0.0625
0.979591837,0,0.918367347,0
1,0.196721311,0.959183673,0.189655172
1,0.379746835,1,0.257575758
0.734693878,0,0.693877551,0
0.959183673,0,0.795918367,0
1,0.02,0.93877551,0
0.93877551,0,0.87755102,0
1,0,0.959183673,0
0.612244898,0,0.591836735,0
1,0,0.979591837,0
1,0.279411765,1,0.196721311
1,0.222222222,1,0.169491525
0.979591837,0,0.959183673,0
1,0.075471698,0.857142857,0.086956522
1,0,1,0
1,0.125,0.979591837,0.111111111
1,0,1,0
1,0,0.979591837,0
1,0.289855072,1,0.125
1,0.169491525,1,0.140350877
1,0,0.979591837,0
0.795918367,0,0.775510204,0
0.979591837,0.238095238,0.979591837,0.142857143
0.979591837,0,0.897959184,0
1,0,0.959183673,0
0.979591837,0,0.93877551,0
0.918367347,0,0.836734694,0
1,0.02,0.979591837,0
1,0.075471698,1,0.057692308
1,0.257575758,0.93877551,0.163636364
1,0.257575758,0.979591837,0.261538462
1,0.075471698,1,0.039215686
1,0,1,0
0.979591837,0,0.918367347,0
1,0.183333333,0.93877551,0.163636364
0.714285714,0,0.591836735,0
