taxon,lfc_aridityMargin,lfc_aridityHyperarid,lfc_aridityHyperarid_aridityMargin,se_aridityMargin,se_aridityHyperarid,se_aridityHyperarid_aridityMargin,W_aridityMargin,W_aridityHyperarid,W_aridityHyperarid_aridityMargin,p_aridityMargin,p_aridityHyperarid,p_aridityHyperarid_aridityMargin,q_aridityMargin,q_aridityHyperarid,q_aridityHyperarid_aridityMargin,diff_aridityMargin,diff_aridityHyperarid,diff_aridityHyperarid_aridityMargin,genus
Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,0.16386736798602036,-5.139637000956259,-5.303504368942279,0.8978250103428761,1.3035696207733254,1.4005015300165173,0.18251593138783248,-3.9427407014189524,-3.7868608175527876,0.8551778528996272,8.055573571225031e-5,1.5256249868241017e-4,1,0.006162513781987148,0.011518468650521968,FALSE,TRUE,TRUE,Paenibacillus
Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter,0.5715604602475852,2.331984583801095,1.7604241235535096,0.8510075474915311,1.0714129652464282,1.2007203233382346,0.6716279566877439,2.1765506480171553,1.466140023897647,1,1,1,1,1,1,FALSE,FALSE,FALSE,Rubrobacter
Bacteria_Chloroflexi_Thermobacula_Thermobaculales_Thermobaculaceae_Thermobaculum,2.2506257479935305,5.740548641727746,3.4899228937342155,1.3914135699020076,1.6010067398273502,1.7071222051881325,1.6175102763673883,3.585586805428937,2.044331028632839,1,1,1,1,1,1,FALSE,FALSE,FALSE,Thermobaculum
Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_Candidatus Nitrososphaera,0.5562235342128844,-2.712465086613003,-3.268688620825887,0.7152453551175257,1.029437918238376,1.152861184943866,0.7776681529396138,-2.6348991411300493,-2.8352837822231334,1,1,1,1,1,1,FALSE,FALSE,FALSE,Candidatus Nitrososphaera
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas,1.3472335573999408,1.5321394634857142,0.1849059060857734,1.4869079087286663,1.7781726814578218,1.8677502423854813,0.9060638856590993,0.8616370499121608,0.09899926761600229,1,1,1,1,1,1,FALSE,FALSE,FALSE,Sphingomonas
Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Ammoniphilus,2.359837693697074,-2.6534353782912774,-5.013273071988351,1.6326800492834297,1.8518271037970475,1.9511329192169227,1.4453766950437033,-1.4328742531365837,-2.569416477274343,1,1,1,1,1,1,FALSE,FALSE,FALSE,Ammoniphilus
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Ralstonia,1.5925300336199797,2.5588346335979115,0.9663045999779318,1.2994923478946758,1.492676640968914,1.6046836702742129,1.2255016631687428,1.7142591793604687,0.6021776240876228,1,1,1,1,1,1,FALSE,FALSE,FALSE,Ralstonia
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Pseudonocardiaceae_Amycolatopsis,-0.6307263656108723,-3.1820119031335907,-2.5512855375227184,1.1628423871466995,1.5984490334439263,1.6774057303849792,-0.5424005631223197,-1.9906871201753684,-1.520971039569047,1,1,1,1,1,1,FALSE,FALSE,FALSE,Amycolatopsis
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptomycetaceae_Streptomyces,0.7909044890907596,-2.251105725375636,-3.0420102144663956,1.4805113453746706,1.6937122981767359,1.7969718620349684,0.534210353444206,-1.329095695767769,-1.6928535603342683,1,1,1,1,1,1,FALSE,FALSE,FALSE,Streptomyces
Bacteria_Actinobacteria_Nitriliruptoria_Euzebyales_Euzebyaceae_Euzebya,-0.5954229747898317,1.7255787435676213,2.321001718357453,1.3195298449092854,1.5824981305627557,1.6809923592072655,-0.45123873255838765,1.0904143962267965,1.380733056664224,1,1,1,1,1,1,FALSE,FALSE,FALSE,Euzebya
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus,-0.6792105173168463,-2.2523604634352075,-1.5731499461183611,1.442413301303583,1.8883084406637276,1.9569373797204235,-0.4708848127669157,-1.192792668258962,-0.8038836410509508,1,1,1,1,1,1,FALSE,FALSE,FALSE,Bacillus
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Pseudonocardiaceae_Pseudonocardia,0.3706884948884626,-4.271940886097074,-4.642629380985537,1.0027616951386815,1.4264353110460355,1.5146708077789994,0.36966758571406794,-2.9948367465499492,-3.065107848611107,1,1,1,1,1,1,FALSE,FALSE,FALSE,Pseudonocardia
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhodobiaceae_Afifella,0.7942384739373558,1.4803591107976453,0.6861206368602895,1.3082849794340352,1.5804892140549331,1.6777311201656586,0.607083690803317,0.9366461331296325,0.4089574477181672,1,1,1,1,1,1,FALSE,FALSE,FALSE,Afifella
Bacteria_Firmicutes_Clostridia_Clostridiales_Symbiobacteriaceae_Symbiobacterium,-0.3226708384893851,-0.9547723166972256,-0.6321014782078405,0.9701387717880082,1.4116966144893182,1.5001168230943713,-0.3326027655761955,-0.676329677990065,-0.4213681684496884,1,1,1,1,1,1,FALSE,FALSE,FALSE,Symbiobacterium
Bacteria_Proteobacteria_Deltaproteobacteria_Bdellovibrionales_Bdellovibrionaceae_Bdellovibrio,0.3346435071703883,-1.8726807609074776,-2.207324268077866,1.0418699367856468,1.3195438519494391,1.426270228301519,0.32119508909415584,-1.4191879702526422,-1.5476199560769555,1,1,1,1,1,1,FALSE,FALSE,FALSE,Bdellovibrio
Bacteria_Verrucomicrobia_Spartobacteria_Chthoniobacterales_Chthoniobacteraceae_DA101,-1.211452303192036,-1.243535531569597,-0.03208322837756117,1.205503826236779,1.6563939361741467,1.7319052511257136,-1.004934432247989,-0.7507486621460662,-0.018524817311286242,1,1,1,1,1,1,FALSE,FALSE,FALSE,DA101
Bacteria_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Nitrospira,1.1382708793072,-0.7881388967795163,-1.9264097760867163,0.7900848882774535,1.100568687957781,1.2178703528560177,1.4406944066337772,-0.7161196801282704,-1.5817855911913026,1,1,1,1,1,1,FALSE,FALSE,FALSE,Nitrospira
Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_Solirubrobacteraceae_Solirubrobacter,-0.842632342558525,-1.7146525262963725,-0.8720201837378475,1.0070797636391355,1.2707285510255668,1.3817345082000025,-0.8367086431303404,-1.3493460305999483,-0.6311054537342602,1,1,1,1,1,1,FALSE,FALSE,FALSE,Solirubrobacter
Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_AK1AB1_02E_NA,1.1308492823406868,-0.9951854291718104,-2.126034711512497,1.257790236921818,1.527243229812419,1.6265521504883855,0.8990762125075856,-0.6516220925032631,-1.3070805697033063,1,1,1,1,1,1,FALSE,FALSE,FALSE,02E
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Curvibacter,0.4064878587075927,1.113668437163012,0.7071805784554193,0.9897186525110304,1.1805098918851384,1.3069676345413404,0.41071051624245547,0.9433791659166969,0.5410849968779778,1,1,1,1,1,1,FALSE,FALSE,FALSE,Curvibacter
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Pelomonas,-0.9271689918535033,-0.7025160757057306,0.22465291614777272,0.7197670484198615,1.0332558384134265,1.1563385279970821,-1.2881514844128543,-0.6799052563636614,0.19427953900048517,1,1,1,1,1,1,FALSE,FALSE,FALSE,Pelomonas
Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Allobaculum,0.03119846266602508,-0.18574048068345542,-0.2169389433494805,0.7184078224560049,0.9849114978509367,1.115798276009708,0.0434272312895586,-0.18858596035150224,-0.1944248776985859,1,1,1,1,1,1,FALSE,FALSE,FALSE,Allobaculum
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_Geodermatophilus,2.837652682969565,1.4514893253194951,-1.38616335765007,0.901527165980782,1.309110258469244,1.4055835554161649,3.147606406161316,1.1087601796175186,-0.9861835337420799,1,1,1,1,1,1,FALSE,FALSE,FALSE,Geodermatophilus
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Thermomonosporaceae_Actinomadura,-0.653318116753904,1.5797531238471556,2.2330712406010598,1.480954669549639,1.8563960540627806,1.933340436574987,-0.44114659968125786,0.8509784969591034,1.155032604892422,1,1,1,1,1,1,FALSE,FALSE,FALSE,Actinomadura
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Kaistobacter,1.4021726031489656,-1.040733386385981,-2.4429059895349465,1.0176521951789212,1.3695336244019662,1.4658261189012138,1.3778505168973167,-0.7599180975497681,-1.6665728342773383,1,1,1,1,1,1,FALSE,FALSE,FALSE,Kaistobacter
Bacteria_Bacteroidetes_Saprospirae_Saprospirales_Chitinophagaceae_Flavisolibacter,0.37067401868078875,-0.891567181074254,-1.2622411997550427,1.0734504928202588,1.4837061088131371,1.5696644994978886,0.34531077228063217,-0.6009055134156228,-0.8041471283569286,1,1,1,1,1,1,FALSE,FALSE,FALSE,Flavisolibacter
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Bradyrhizobium,-0.7177454307827613,-2.31647147729296,-1.598726046510199,1.1272845438287298,1.4107359737394052,1.5125513912632211,-0.6367029821459254,-1.6420304865075093,-1.0569730428630317,1,1,1,1,1,1,FALSE,FALSE,FALSE,Bradyrhizobium
Bacteria_Chloroflexi_TK10_AKYG885_Dolo_23_NA,0.4727723871706296,0.09564098538670562,-0.37713140178392396,0.9089733784313656,1.1962459282849265,1.3088047206699434,0.520116868534151,0.07995093912154616,-0.2881494816055371,1,1,1,1,1,1,FALSE,FALSE,FALSE,23
Bacteria_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Adhaeribacter,0.8365096056636108,-0.2149285474675824,-1.0514381531311932,1.058415439524282,1.3541869578924464,1.4570373922880828,0.790341461798394,-0.15871408760432965,-0.7216274329652239,1,1,1,1,1,1,FALSE,FALSE,FALSE,Adhaeribacter
Bacteria_Planctomycetes_Planctomycetia_Planctomycetales_Planctomycetaceae_Planctomyces,-0.5713777095038617,-1.4183136991189838,-0.8469359896151221,1.2631668131134512,1.501565454456773,1.6062066756176034,-0.45233749301529774,-0.9445566924234365,-0.5272895465270472,1,1,1,1,1,1,FALSE,FALSE,FALSE,Planctomyces
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Hyphomicrobiaceae_Rhodoplanes,-0.5561037240224709,-3.4876449036296826,-2.931541179607212,1.0051208200034796,1.4278829147958438,1.5160792525091835,-0.5532705252494379,-2.442528632768423,-1.9336332020607574,1,1,1,1,1,1,FALSE,FALSE,FALSE,Rhodoplanes
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium,0.10114232925398685,-0.5430097324752945,-0.6441520617292813,1.228235764570133,1.6469495727763113,1.7253151359730026,0.08234765032215569,-0.32970635012213945,-0.3733532780757804,1,1,1,1,1,1,FALSE,FALSE,FALSE,Mesorhizobium
Bacteria_Planctomycetes_Planctomycetia_Gemmatales_Gemmataceae_Gemmata,-0.3931679931569525,-2.2195983551510987,-1.8264303619941462,0.8228227121197382,1.1270676916713596,1.242780309661792,-0.4778283187444857,-1.9693567401081256,-1.4696325229767984,1,1,1,1,1,1,FALSE,FALSE,FALSE,Gemmata
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Pseudonocardiaceae_Jiangella,-0.43227987146825847,-0.8196897201244302,-0.38740984865617173,1.0917773882276274,1.3274317499759938,1.4394078948304012,-0.3959414035584802,-0.6175004629347265,-0.26914528539654736,1,1,1,1,1,1,FALSE,FALSE,FALSE,Jiangella
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_Blastococcus,0.4406992411200172,0.4551834747703128,0.014484233650295608,0.7643548750963542,1.0507091757214613,1.174040319593946,0.57656365580773306,0.43321547511733166,0.012337083666176925,1,1,1,1,1,1,FALSE,FALSE,FALSE,Blastococcus
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Massilia,-0.29826360317788697,-0.39693586588442975,-0.09867226270654278,0.9094608581354098,1.2434903251895875,1.3486214859232004,-0.32795650358102435,-0.3192110608692604,-0.07316527560659214,1,1,1,1,1,1,FALSE,FALSE,FALSE,Massilia
Bacteria_Bacteroidetes_Saprospirae_Saprospirales_Chitinophagaceae_Segetibacter,0.18869837256770208,0.3631833848363915,0.17448501226868943,0.9849275173914152,1.427175765328001,1.514592824401555,0.1915860499739824,0.25447698430678073,0.11520258742651303,1,1,1,1,1,1,FALSE,FALSE,FALSE,Segetibacter
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micromonosporaceae_Couchioplanes,1.1336223580481875,0.1490873703333191,-0.9845349877148684,0.889497985847563,1.1983425996774841,1.3086040089066535,1.274451854961773,0.12441130806285591,-0.7523551670435835,1,1,1,1,1,1,FALSE,FALSE,FALSE,Couchioplanes
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Cryptosporangiaceae_Cryptosporangium,0.3486113583757139,2.872768159012585,2.524156800636871,1.2767682801829818,1.5239967444522027,1.6265903448789807,0.2730419950014361,1.8850225038014732,1.5518085476061705,1,1,1,1,1,1,FALSE,FALSE,FALSE,Cryptosporangium
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus,-0.4674874815249601,1.8325612244586313,2.3000487059835915,0.9951797188177741,1.1873150708908267,1.3131586641783959,-0.4697518173705478,1.5434498132696026,1.7515390704311145,1,1,1,1,1,1,FALSE,FALSE,FALSE,Geobacillus
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus,0.3311227045219492,0.9602603450569905,0.6291376405350413,0.9557014658964186,1.3901248257652479,1.4801727480721796,0.3464708555316134,0.6907727473526546,0.4250433885872096,1,1,1,1,1,1,FALSE,FALSE,FALSE,Anoxybacillus
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiaceae_Burkholderia,-0.3770587423746944,0.08740123371926294,0.46445997609395734,1.2246373587098864,1.4669057565487336,1.5721826435733441,-0.30789420206150897,0.05958203744792469,0.2954236761183846,1,1,1,1,1,1,FALSE,FALSE,FALSE,Burkholderia
Bacteria_Bacteroidetes_Saprospirae_Saprospirales_Chitinophagaceae_Sediminibacterium,0.2161109561559222,1.0647721670406398,0.8486612108847176,0.6694451192129549,0.960321778885593,1.0918521966572383,0.3228210199067504,1.1087660307738272,0.7772674849974543,1,1,1,1,1,1,FALSE,FALSE,FALSE,Sediminibacterium
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium,-0.4044630386139038,-0.6262309649830474,-0.2217679263691436,0.8178704112863611,1.1429329485544193,1.255847668783575,-0.49453193688442304,-0.5479157511165497,-0.1765882374762458,1,1,1,1,1,1,FALSE,FALSE,FALSE,Novosphingobium
