Taxon,Species,None,Ileocolonic,Colectomy
Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_L.vaginalis,L.vaginalis,Absence,Presence,Absence
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_A.finegoldii,A.finegoldii,Presence,Absence,Absence
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Gemmiger_G.formicilis,G.formicilis,Presence,Absence,Absence
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus_G.vulcani,G.vulcani,Presence,Absence,Absence
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Coprococcus_C.catus,C.catus,Presence,Absence,Presence
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_B.plebeius,B.plebeius,Presence,Absence,Absence
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_R.callidus,R.callidus,Presence,Absence,Absence
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus_R.lactaris,R.lactaris,Presence,Absence,Presence
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_R.flavefaciens,R.flavefaciens,Presence,Absence,Absence
Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Stenotrophomonas_S.geniculata,S.geniculata,Presence,Absence,Absence
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Coprococcus_C.eutactus,C.eutactus,Presence,Absence,Absence
Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas_P.veronii,P.veronii,Presence,Absence,Presence
Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Peptostreptococcus_P.anaerobius,P.anaerobius,Presence,Absence,Absence
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_B.acidifaciens,B.acidifaciens,Presence,Absence,Absence
Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_C.ruminantium,C.ruminantium,Presence,Absence,Absence
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium_C.citroniae,C.citroniae,Presence,Absence,Absence
