X1,X2
NA,NA
0.8333333333333334,0.16666666666666666
0,NA
0,NA
0.9166666666666666,0.8764044943820225
0.9166666666666666,0.15384615384615385
0.9166666666666666,0.8103448275862069
0.5833333333333334,0
0,NA
0.08333333333333333,0
0,NA
0,NA
0,NA
0.8333333333333334,0
0.8333333333333334,0
0.08333333333333333,0
0.6666666666666666,0
1,0.3333333333333333
0.6666666666666666,0
0.3333333333333333,0
0.9166666666666666,0.26666666666666666
0.9166666666666666,0
0,NA
0.8333333333333334,0
1,0
0.9166666666666666,0
0.9166666666666666,0.08333333333333333
0.6666666666666666,0
NA,NA
0.08333333333333333,0
0.8333333333333334,0
0.9166666666666666,0.8607594936708861
0.9166666666666666,0
0.3333333333333333,0
0.8333333333333334,0.23076923076923078
0.9166666666666666,0.21428571428571427
0.9166666666666666,0.15384615384615385
0.8333333333333334,0
0,NA
NA,NA
1,0.07692307692307693
1,0.14285714285714285
NA,NA
NA,NA
0,NA
0.08333333333333333,0
0.8333333333333334,0.23076923076923078
0.9166666666666666,0.8674698795180723
0.8333333333333334,0
0.9166666666666666,0.45
0,NA
0.6666666666666666,0
0.9166666666666666,0.56
0.8333333333333334,0.09090909090909091
0.9090909090909091,0.2857142857142857
0.08333333333333333,0
0,NA
0,NA
0.9166666666666666,0.35294117647058826
0.9166666666666666,0.3125
0.8333333333333334,0.23076923076923078
0.08333333333333333,0
0.9166666666666666,0
0.75,0
0.8333333333333334,0.2857142857142857
0.75,0
1,0.8461538461538461
0.9166666666666666,0
0.16666666666666666,0
1,0.7931034482758621
0.6666666666666666,0
0.75,0
0.9166666666666666,0
0.9166666666666666,0
0.9166666666666666,0.5769230769230769
0.9166666666666666,0.15384615384615385
0.6666666666666666,0
0.8333333333333334,0
0.9166666666666666,0.7708333333333334
0.5833333333333334,0
1,0.8536585365853658
0.8333333333333334,0
0.9166666666666666,0.15384615384615385
1,0
NA,NA
0.5833333333333334,0
0.9166666666666666,0.725
0.6666666666666666,0
0.9166666666666666,0
0,NA
0,NA
0,NA
0.9166666666666666,0
0,NA
NA,NA
0,NA
0.9166666666666666,0.08333333333333333
0,NA
0.8333333333333334,0.23076923076923078
0.9166666666666666,0.3125
1,0.1724137931034483
0.9583333333333334,0.11538461538461539
0,NA
0.375,0
1,0.6883116883116883
1,0.3333333333333333
1,0.6129032258064516
0.3333333333333333,0
0.25,0
0.3333333333333333,0
0.25,0
0.125,0
0.9583333333333334,0
1,0
0.9130434782608695,0.34375
0.2608695652173913,0
0.375,0
1,0.14285714285714285
0.7083333333333334,0.15
0.3333333333333333,0
0.875,0.27586206896551724
0.9583333333333334,0
0,NA
1,0
0.9583333333333334,0
0.9583333333333334,0.5576923076923077
0.9583333333333334,0
1,0
NA,NA
0.8260869565217391,0
0.75,0.05263157894736842
1,0.5932203389830508
1,0
0.2916666666666667,0
0.7916666666666666,0.09523809523809523
0.9583333333333334,0.17857142857142858
NA,NA
0.7916666666666666,0
0,NA
NA,NA
1,0.07692307692307693
NA,NA
NA,NA
1,0.08
0.2916666666666667,0
0.2608695652173913,0
NA,NA
1,0.6805555555555556
1,0
0.9583333333333334,0.41025641025641024
0.125,0
0.782608695652174,0
0.9583333333333334,0.08
0.8260869565217391,0.17391304347826086
1,0.3235294117647059
0.5416666666666666,0
0,NA
0.30434782608695654,0
0.9583333333333334,0.17857142857142858
1,0.2
