taxon,lfc_surgery_typeileocolonic,lfc_surgery_typecolectomy,lfc_surgery_typecolectomy_surgery_typeileocolonic,se_surgery_typeileocolonic,se_surgery_typecolectomy,se_surgery_typecolectomy_surgery_typeileocolonic,W_surgery_typeileocolonic,W_surgery_typecolectomy,W_surgery_typecolectomy_surgery_typeileocolonic,p_surgery_typeileocolonic,p_surgery_typecolectomy,p_surgery_typecolectomy_surgery_typeileocolonic,q_surgery_typeileocolonic,q_surgery_typecolectomy,q_surgery_typecolectomy_surgery_typeileocolonic,diff_surgery_typeileocolonic,diff_surgery_typecolectomy,diff_surgery_typecolectomy_surgery_typeileocolonic,passed_ss_surgery_typeileocolonic,passed_ss_surgery_typecolectomy,passed_ss_surgery_typecolectomy_surgery_typeileocolonic,species
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_R.faecis,-1.0037881075650998,-1.9731564862067792,-0.9693683786416794,0.5863717829785212,0.7128683098284135,0.9004699320506794,-1.7118629113875157,-2.7679116310861334,-1.0765138780748564,0.08936349168677642,0.006637319295535396,0.2837387677846637,1,0.08517893095937092,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,R.faecis
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_P.copri,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,P.copri
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_B.ovatus,-1.4700222437935004,-1.6750453822471378,-0.2050231384536374,0.6027133344949681,0.7323822524235006,0.9225907139575457,-2.4390073350961727,-2.287119023848958,-0.2222254520362231,0.01613421956172558,0.023869991679629807,0.824501631856191,0.20705581770881162,0.28246156820895274,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B.ovatus
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_B.uniformis,-1.3957472780814655,-2.2787519575155164,-0.8830046794340509,0.6493206985610047,0.8046928240761446,0.9856817758355005,-2.149549954551977,-2.831828356530601,-0.8958313941490734,0.03413958870599465,0.005865803120589219,0.3726146405026165,0.4039851330209367,0.07527780671422832,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B.uniformis
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_P.distasonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,P.distasonis
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_D.longicatena,0.40071718299751846,-0.5766832258982196,-0.9774004088957381,0.5580225388173111,0.7410809632126142,0.9035240705994946,0.7181021466387538,-0.7781649435417635,-1.0817646598471096,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,D.longicatena
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_A.onderdonkii,-0.9979558520082491,-0.025681394630666095,0.972274457377583,0.8011515085382886,1.2145016836277027,1.3504257962474244,-1.2456518415961453,-0.02114562291421125,0.7199762179301877,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A.onderdonkii
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium_C.clostridioforme,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C.clostridioforme
Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_B.adolescentis,-0.03473823170270709,-0.008394553900381655,0.02634367780232543,0.6284877946595091,0.7095405851509792,0.9086313518040358,-0.055272722872091645,-0.01183097073805218,0.02899270177065931,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,B.adolescentis
Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_C.aerofaciens,0.4292044884824801,-0.3080067843015993,-0.7372112727840794,0.556884294061756,0.727937041808852,0.8942766902628847,0.7707247143782497,-0.4231228342718111,-0.824365971752396,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C.aerofaciens
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_R.inulinivorans,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,R.inulinivorans
Bacteria_Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales_Verrucomicrobiaceae_Akkermansia_A.muciniphila,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,A.muciniphila
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium_C.aldenense,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,C.aldenense
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_F.prausnitzii,-3.856221314326794,-1.3306681063303623,2.525553207996432,0.614807517119066,0.7346365960411776,0.9245137378984274,-6.272241647917235,-1.811328367659724,2.731763849975266,5.9797889336788755e-9,0.07277553490167432,0.007261197229806776,7.67406246488789e-8,0.7884016281014719,0.08592416721938018,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,F.prausnitzii
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus_R.gnavus,1.047842543808129,0.6339891662357483,-0.4138533775723806,0.5608373799126004,0.7156352625815701,0.8784502228888933,1.868353610758652,0.885911021137649,-0.4711176191763855,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,R.gnavus
Bacteria_Firmicutes_Clostridia_Clostridiales_Veillonellaceae_Veillonella_V.dispar,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,V.dispar
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_B.obeum,-0.618335591229389,-0.7117594026337349,-0.09342381140434597,0.9532678459188831,0.8404275926432137,1.2581319803740523,-0.64864832468293,-0.8469015163997571,-0.07425597064671256,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B.obeum
Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Eubacterium_E.dolichum,0.09174017353424865,-0.5583677654373846,-0.6501079389716333,0.4841231445154972,0.6161513253784608,0.7704096284635027,0.18949759905831556,-0.9062185577453987,-0.8438471106185448,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,E.dolichum
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_C.perfringens,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,C.perfringens
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_B.producta,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,B.producta
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_B.fragilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,B.fragilis
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_C.paraputrificum,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,C.paraputrificum
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus_R.torques,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,R.torques
Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_B.bifidum,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,B.bifidum
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Butyricicoccus_B.pullicaecorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B.pullicaecorum
Bacteria_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Haemophilus_H.parainfluenzae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,H.parainfluenzae
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium_C.symbiosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C.symbiosum
Bacteria_Firmicutes_Clostridia_Clostridiales_Veillonellaceae_Veillonella_V.parvula,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,V.parvula
